사용일자,요일,노선명,역명,승차총승객수,하차총승객수,승하자총승객수,연월,월일,등록일자
2019-01-01,월,4호선,충무로,2.0,0.0,2.0,2019-01,01-01,20190104
2019-01-01,월,3호선,동대입구,5797.0,6762.0,12559.0,2019-01,01-01,20190104
2019-01-01,월,3호선,약수,5657.0,5815.0,11472.0,2019-01,01-01,20190104
2019-01-01,월,3호선,금호,3865.0,3635.0,7500.0,2019-01,01-01,20190104
2019-01-01,월,3호선,옥수,4112.0,4515.0,8627.0,2019-01,01-01,20190104
2019-01-01,월,3호선,압구정,8893.0,9434.0,18327.0,2019-01,01-01,20190104
2019-01-01,월,3호선,신사,15260.0,13729.0,28989.0,2019-01,01-01,20190104
2019-01-01,월,3호선,잠원,2232.0,2278.0,4510.0,2019-01,01-01,20190104
2019-01-01,월,3호선,고속터미널,44564.0,36579.0,81143.0,2019-01,01-01,20190104
2019-01-01,월,2호선,교대,3065.0,2015.0,5080.0,2019-01,01-01,20190104
2019-01-01,월,3호선,남부터미널,15944.0,15748.0,31692.0,2019-01,01-01,20190104
2019-01-01,월,3호선,양재,10162.0,11075.0,21237.0,2019-01,01-01,20190104
2019-01-01,월,3호선,매봉,3206.0,3105.0,6311.0,2019-01,01-01,20190104
2019-01-01,월,3호선,도곡,1703.0,1696.0,3399.0,2019-01,01-01,20190104
2019-01-01,월,3호선,대치,5017.0,4763.0,9780.0,2019-01,01-01,20190104
2019-01-01,월,3호선,학여울,633.0,609.0,1242.0,2019-01,01-01,20190104
2019-01-01,월,3호선,대청,3557.0,3506.0,7063.0,2019-01,01-01,20190104
2019-01-01,월,3호선,일원,2846.0,3260.0,6106.0,2019-01,01-01,20190104
2019-01-01,월,3호선,수서,8532.0,8342.0,16874.0,2019-01,01-01,20190104
2019-01-01,월,3호선,가락시장,3483.0,3396.0,6879.0,2019-01,01-01,20190104
2019-01-01,월,3호선,경찰병원,2541.0,2775.0,5316.0,2019-01,01-01,20190104
2019-01-01,월,3호선,오금,2254.0,2238.0,4492.0,2019-01,01-01,20190104
2019-01-01,월,4호선,당고개,6940.0,6611.0,13551.0,2019-01,01-01,20190104
2019-01-01,월,4호선,상계,9431.0,8961.0,18392.0,2019-01,01-01,20190104
2019-01-01,월,4호선,노원,11250.0,12414.0,23664.0,2019-01,01-01,20190104
2019-01-01,월,4호선,창동,12986.0,14032.0,27018.0,2019-01,01-01,20190104
2019-01-01,월,4호선,쌍문,14483.0,13398.0,27881.0,2019-01,01-01,20190104
2019-01-01,월,4호선,수유,19284.0,19279.0,38563.0,2019-01,01-01,20190104
2019-01-01,월,4호선,미아,7164.0,6960.0,14124.0,2019-01,01-01,20190104
2019-01-01,월,4호선,미아사거리,13764.0,13715.0,27479.0,2019-01,01-01,20190104
2019-01-01,월,4호선,길음,9225.0,9424.0,18649.0,2019-01,01-01,20190104
2019-01-01,월,4호선,성신여대입구,11798.0,11651.0,23449.0,2019-01,01-01,20190104
2019-01-01,월,4호선,한성대입구,6996.0,7224.0,14220.0,2019-01,01-01,20190104
2019-01-01,월,4호선,혜화,23601.0,24291.0,47892.0,2019-01,01-01,20190104
2019-01-01,월,4호선,동대문,9995.0,8732.0,18727.0,2019-01,01-01,20190104
2019-01-01,월,2호선,동대문역사문화공원,14304.0,11325.0,25629.0,2019-01,01-01,20190104
2019-01-01,월,4호선,충무로,12152.0,11795.0,23947.0,2019-01,01-01,20190104
2019-01-01,월,4호선,명동,34174.0,36263.0,70437.0,2019-01,01-01,20190104
2019-01-01,월,4호선,회현,10995.0,10799.0,21794.0,2019-01,01-01,20190104
2019-01-01,월,4호선,서울역,5689.0,13266.0,18955.0,2019-01,01-01,20190104
2019-01-01,월,4호선,숙대입구,6047.0,6041.0,12088.0,2019-01,01-01,20190104
2019-01-01,월,4호선,삼각지,1626.0,2213.0,3839.0,2019-01,01-01,20190104
2019-01-01,월,4호선,신용산,7203.0,6801.0,14004.0,2019-01,01-01,20190104
2019-01-01,월,4호선,이촌,2926.0,3308.0,6234.0,2019-01,01-01,20190104
2019-01-01,월,4호선,동작,1194.0,1367.0,2561.0,2019-01,01-01,20190104
2019-01-01,월,4호선,총신대입구,9099.0,10245.0,19344.0,2019-01,01-01,20190104
2019-01-01,월,2호선,사당,13026.0,11467.0,24493.0,2019-01,01-01,20190104
2019-01-01,월,4호선,남태령,600.0,452.0,1052.0,2019-01,01-01,20190104
2019-01-01,월,4호선,서울역,5983.0,731.0,6714.0,2019-01,01-01,20190104
2019-01-01,월,1호선,남영,4013.0,4269.0,8282.0,2019-01,01-01,20190104
2019-01-01,월,1호선,용산,35145.0,30245.0,65390.0,2019-01,01-01,20190104
2019-01-01,월,1호선,노량진,7627.0,7121.0,14748.0,2019-01,01-01,20190104
2019-01-01,월,1호선,대방,6016.0,6353.0,12369.0,2019-01,01-01,20190104
2019-01-01,월,1호선,영등포,35263.0,33396.0,68659.0,2019-01,01-01,20190104
2019-01-01,월,2호선,신도림,1454.0,1678.0,3132.0,2019-01,01-01,20190104
2019-01-01,월,1호선,신길,4474.0,4004.0,8478.0,2019-01,01-01,20190104
2019-01-01,월,1호선,구로,9889.0,9924.0,19813.0,2019-01,01-01,20190104
2019-01-01,월,1호선,가산디지털단지,4487.0,6298.0,10785.0,2019-01,01-01,20190104
2019-01-01,월,1호선,금천구청,5445.0,5298.0,10743.0,2019-01,01-01,20190104
2019-01-01,월,1호선,석수,4842.0,4762.0,9604.0,2019-01,01-01,20190104
2019-01-01,월,1호선,관악,4410.0,4188.0,8598.0,2019-01,01-01,20190104
2019-01-01,월,1호선,안양,13420.0,13365.0,26785.0,2019-01,01-01,20190104
2019-01-01,월,1호선,명학,2967.0,3141.0,6108.0,2019-01,01-01,20190104
2019-01-01,월,4호선,금정,12318.0,13412.0,25730.0,2019-01,01-01,20190104
2019-01-01,월,1호선,군포,3022.0,2759.0,5781.0,2019-01,01-01,20190104
2019-01-01,월,1호선,의왕,3509.0,3797.0,7306.0,2019-01,01-01,20190104
2019-01-01,월,1호선,성균관대,7292.0,7920.0,15212.0,2019-01,01-01,20190104
2019-01-01,월,1호선,화서,3567.0,3582.0,7149.0,2019-01,01-01,20190104
2019-01-01,월,1호선,수원,35173.0,33952.0,69125.0,2019-01,01-01,20190104
2019-01-01,월,1호선,독산,5591.0,5893.0,11484.0,2019-01,01-01,20190104
2019-01-01,월,1호선,세류,2427.0,2723.0,5150.0,2019-01,01-01,20190104
